"","Pitcher","TaggedPitchType","Team","Max Velo","Max Spin","MaxVelo_percentile","MaxVelo_ranking","MaxSpin_percentile","MaxSpin_ranking"
"75","Neris, Hector","Fastball","HOU",95,2594,26,89,76,29
"76","Nola, Aaron","Fastball","PHI",95.3,2541,34,80,65,42
"77","Ober, Bailey","Fastball","HOU",93.2,2477,7,113,47,64
"78","Okert, Steven","Fastball","MIA",95.6,2354,36,77,17,101
"79","Paddack, Chris","Fastball","MIN",97.7,2435,65,42,34,80
"80","Pagan, Emilio","Fastball","HOU",98,2614,74,32,82,22
"81","Payamps, Joel","Fastball","MIL",95.2,2605,29,86,79,25
"82","Peralta, Freddy","Fastball","MIL",97.7,2597,64,43,78,27
"83","Perez, Cionel","Fastball","BAL",99.3,2379,88,14,23,93
"84","Perez, Martin","Fastball","TEX",92.7,2089,6,114,0,121
"85","Pfaadt, Brandon","Fastball","AZ",95.2,2665,28,87,89,13
"86","Phillips, Evan","Fastball","LAD",97.8,2366,68,39,21,95
"87","Poche, Colin","Fastball","TB",93.7,2341,12,107,14,104
"88","Pressly, Ryan","Fastball","HOU",96.6,2678,51,59,92,10
"89","Puk, A.J.","Fastball","MIA",96.5,2253,50,61,7,113
"90","Rodriguez, Grayson","Fastball","BAL",100,2628,91,11,83,20
"91","Romano, Jordan","Fastball","TOR",99.3,2382,88,15,24,92
"92","Ryan, Joe","Fastball","MIN",94.4,2480,18,99,48,63
"93","Sborz, Josh","Fastball","TEX",98.8,2605,83,20,79,26
"94","Scherzer, Max","Fastball","AZ",94.8,2361,23,93,21,96
"95","Scherzer, Max","Fastball","HOU",95.5,2401,35,79,28,87
"96","Scherzer, Max","Fastball","TEX",96.1,2443,47,64,37,76
"97","Scott, Tanner","Fastball","MIA",99.3,2656,87,16,88,15
"98","Sewald, Paul","Fastball","AZ",95.3,2744,33,81,98,3
"99","Sheehan, Emmet","Fastball","LAD",97.3,2451,60,49,43,69
"100","Smith-Shawver, AJ","Fastball","ATL",98.5,2359,78,27,20,97
"101","Smith, Will","Fastball","TEX",93.6,2395,10,109,27,88
"102","Soriano, George","Fastball","MIA",95.8,2194,40,72,3,117
"103","Soto, Gregory","Fastball","PHI",100.4,2559,93,8,67,40
"104","Stanek, Ryne","Fastball","HOU",97.9,2444,70,36,38,75
"105","Stewart, Brock","Fastball","MIN",98.6,2709,80,24,94,7
"106","Strahm, Matt","Fastball","PHI",94.8,2687,22,94,93,9
"107","Stratton, Chris","Fastball","TEX",93.9,2635,13,105,85,18
"108","Strider, Spencer","Fastball","ATL",100.7,2570,95,6,70,36
"109","Suarez, Ranger","Fastball","PHI",95.8,2257,40,73,7,112
"110","Swanson, Erik","Fastball","TOR",94,2376,16,102,22,94
"111","Thielbar, Caleb","Fastball","MIN",95.3,2331,32,82,12,106
"112","Thompson, Ryan","Fastball","AZ",93.3,2359,8,111,19,98
"113","Urquidy, Jose","Fastball","HOU",95,2449,26,90,40,72
"114","Varland, Louie","Fastball","TOR",100.1,2345,92,10,15,103
"115","Verlander, Justin","Fastball","HOU",96.6,2614,50,60,81,23
"116","Vesia, Alex","Fastball","LAD",95.3,2534,31,83,61,47
"117","Webb, Jacob","Fastball","BAL",95.8,2632,39,74,84,19
"118","Wells, Tyler","Fastball","BAL",95.8,2581,38,75,73,33
"119","Wheeler, Zack","Fastball","PHI",98.6,2677,79,25,91,11
"120","Williams, Devin","Fastball","MIL",96,2440,43,69,35,79
"121","Yates, Kirby","Fastball","ATL",94.7,2501,21,95,55,55
"122","Abreu, Bryan","Low","HOU",0,0,-5,20,-5,20
"123","Armstrong, Shawn","Low","TB",0,0,-5,20,-5,20
"124","Baker, Bryan","Low","BAL",0,0,-5,20,-5,20
"125","Berrios, Jose","Low","MIN",0,0,-5,20,-5,20
"126","Bradford, Cody","Low","TEX",0,0,-5,20,-5,20
"127","Bradish, Kyle","Low","BAL",0,0,-5,20,-5,20
"128","Brasier, Ryan","Low","LAD",0,0,-5,20,-5,20
"129","Brazoban, Huascar","Low","MIA",0,0,-5,20,-5,20
"130","Brown, Hunter","Low","HOU",0,0,-5,20,-5,20
"131","Burke, Brock","Low","TEX",0,0,-5,20,-5,20
"132","Cabrera, Genesis","Low","TOR",0,0,-5,20,-5,20
"133","Cecconi, Slade","Low","AZ",0,0,-5,20,-5,20
"134","Chapman, Aroldis","Low","TEX",0,0,-5,20,-5,20
"135","Coulombe, Danny","Low","BAL",0,0,-5,20,-5,20
"136","Devenski, Chris","Low","TB",0,0,-5,20,-5,20
"137","Diekman, Jake","Low","TB",0,0,-5,20,-5,20
"138","Dominguez, Seranthony","Low","PHI",0,0,-5,20,-5,20
"139","Duran, Jhoan","Low","MIN",0,0,-5,20,-5,20
"140","Eflin, Zach","Low","TB",0,0,-5,20,-5,20
"141","Elder, Bryce","Low","ATL",0,0,-5,20,-5,20
"142","Eovaldi, Nathan","Low","TEX",0,0,-5,20,-5,20
"143","Ferguson, Caleb","Low","LAD",0,0,-5,20,-5,20
"144","Flaherty, Jack","Low","BAL",0,0,-5,20,-5,20
"145","France, J.P.","Low","HOU",0,0,-5,20,-5,20
"146","Frias, Luis","Low","AZ",0,0,-5,20,-5,20
"147","Fried, Max","Low","ATL",0,0,-5,20,-5,20
"148","Gallen, Zac","Low","AZ",0,0,-5,20,-5,20
"149","Garcia, Yimi","Low","TOR",0,0,-5,20,-5,20
"150","Garrett, Braxton","Low","MIA",0,0,-5,20,-5,20
"151","Gausman, Kevin","Low","TOR",0,0,-5,20,-5,20
"152","Gibson, Kyle","Low","BAL",0,0,-5,20,-5,20
"153","Ginkel, Kevin","Low","AZ",0,0,-5,20,-5,20
"154","Glasnow, Tyler","Low","TB",0,0,-5,20,-5,20
"155","Graterol, Brusdar","Low","LAD",0,0,-5,20,-5,20
"156","Gray, Jon","Low","TEX",0,0,-5,20,-5,20
"157","Gray, Sonny","Low","MIN",0,0,-5,20,-5,20
"158","Green, Chad","Low","TOR",0,0,-5,20,-5,20
"159","Grove, Michael","Low","LAD",0,0,-5,20,-5,20
"160","Hall, DL","Low","BAL",0,0,-5,20,-5,20
"161","Hand, Brad","Low","ATL",0,0,-5,20,-5,20
"162","Heaney, Andrew","Low","TEX",0,0,-5,20,-5,20
"163","Hernandez, Daysbel","Low","ATL",0,0,-5,20,-5,20
"164","Hicks, Jordan","Low","TOR",0,0,-5,20,-5,20
"165","Hoffman, Jeff","Low","PHI",0,0,-5,20,-5,20
"166","Iglesias, Raisel","Low","PHI",0,0,-5,20,-5,20
"167","Javier, Cristian","Low","HOU",0,0,-5,20,-5,20
"168","Jax, Griffin","Low","MIN",0,0,-5,20,-5,20
"169","Jimenez, Joe","Low","ATL",0,0,-5,20,-5,20
"170","Johnson, Pierce","Low","PHI",0,0,-5,20,-5,20
"171","Kelly, Joe","Low","LAD",0,0,-5,20,-5,20
"172","Kelly, Merrill","Low","AZ",0,0,-5,20,-5,20
"173","Kershaw, Clayton","Low","LAD",0,0,-5,20,-5,20
"174","Kikuchi, Yusei","Low","TOR",0,0,-5,20,-5,20
"175","Kimbrel, Craig","Low","PHI",0,0,-5,20,-5,20
"176","Kremer, Dean","Low","BAL",0,0,-5,20,-5,20
"177","Leclerc, Jose","Low","TEX",0,0,-5,20,-5,20
"178","Littell, Zack","Low","TB",0,0,-5,20,-5,20
"179","Lopez, Pablo","Low","MIN",0,0,-5,20,-5,20
"180","Lorenzen, Michael","Low","PHI",0,0,-5,20,-5,20
"181","Luzardo, Jesus","Low","MIA",0,0,-5,20,-5,20
"182","Lynn, Lance","Low","LAD",0,0,-5,20,-5,20
"183","Maeda, Kenta","Low","MIN",0,0,-5,20,-5,20
"184","Mantiply, Joe","Low","AZ",0,0,-5,20,-5,20
"185","Maton, Phil","Low","HOU",0,0,-5,20,-5,20
"186","Megill, Trevor","Low","MIL",0,0,-5,20,-5,20
"187","Miller, Bobby","Low","LAD",0,0,-5,20,-5,20
"188","Miller, Shelby","Low","LAD",0,0,-5,20,-5,20
"189","Milner, Hoby","Low","MIL",0,0,-5,20,-5,20
"190","Minter, A.J.","Low","ATL",0,0,-5,20,-5,20
"191","Montero, Rafael","Low","HOU",0,0,-5,20,-5,20
"192","Montgomery, Jordan","Low","TEX",0,0,-5,20,-5,20
"193","Nardi, Andrew","Low","MIA",0,0,-5,20,-5,20
"194","Nelson, Kyle","Low","AZ",0,0,-5,20,-5,20
"195","Nelson, Ryne","Low","AZ",0,0,-5,20,-5,20
"196","Neris, Hector","Low","HOU",0,0,-5,20,-5,20
"197","Nola, Aaron","Low","PHI",0,0,-5,20,-5,20
"198","Ober, Bailey","Low","HOU",0,0,-5,20,-5,20
"199","Okert, Steven","Low","MIA",0,0,-5,20,-5,20
"200","Paddack, Chris","Low","MIN",0,0,-5,20,-5,20
"201","Pagan, Emilio","Low","HOU",0,0,-5,20,-5,20
"202","Payamps, Joel","Low","MIL",0,0,-5,20,-5,20
"203","Peralta, Freddy","Low","MIL",0,0,-5,20,-5,20
"204","Perez, Cionel","Low","BAL",0,0,-5,20,-5,20
"205","Perez, Martin","Low","TEX",0,0,-5,20,-5,20
"206","Pfaadt, Brandon","Low","AZ",0,0,-5,20,-5,20
"207","Phillips, Evan","Low","LAD",0,0,-5,20,-5,20
"208","Poche, Colin","Low","TB",0,0,-5,20,-5,20
"209","Pressly, Ryan","Low","HOU",0,0,-5,20,-5,20
"210","Puk, A.J.","Low","MIA",0,0,-5,20,-5,20
"211","Rodriguez, Grayson","Low","BAL",0,0,-5,20,-5,20
"212","Romano, Jordan","Low","TOR",0,0,-5,20,-5,20
"213","Ryan, Joe","Low","MIN",0,0,-5,20,-5,20
"214","Sborz, Josh","Low","TEX",0,0,-5,20,-5,20
"215","Scherzer, Max","Low","AZ",0,0,-5,20,-5,20
"216","Scherzer, Max","Low","HOU",0,0,-5,20,-5,20
"217","Scherzer, Max","Low","TEX",0,0,-5,20,-5,20
"218","Scott, Tanner","Low","MIA",0,0,-5,20,-5,20
"219","Sewald, Paul","Low","AZ",0,0,-5,20,-5,20
"220","Sheehan, Emmet","Low","LAD",0,0,-5,20,-5,20
"221","Smith-Shawver, AJ","Low","ATL",0,0,-5,20,-5,20
"222","Smith, Will","Low","TEX",0,0,-5,20,-5,20
"223","Soriano, George","Low","MIA",0,0,-5,20,-5,20
"224","Soto, Gregory","Low","PHI",0,0,-5,20,-5,20
"225","Stanek, Ryne","Low","HOU",0,0,-5,20,-5,20
"226","Stewart, Brock","Low","MIN",0,0,-5,20,-5,20
"227","Strahm, Matt","Low","PHI",0,0,-5,20,-5,20
"228","Stratton, Chris","Low","TEX",0,0,-5,20,-5,20
"229","Strider, Spencer","Low","ATL",0,0,-5,20,-5,20
"230","Suarez, Ranger","Low","PHI",0,0,-5,20,-5,20
"231","Swanson, Erik","Low","TOR",0,0,-5,20,-5,20
"232","Thielbar, Caleb","Low","MIN",0,0,-5,20,-5,20
"233","Thompson, Ryan","Low","AZ",0,0,-5,20,-5,20
"234","Urquidy, Jose","Low","HOU",0,0,-5,20,-5,20
"235","Varland, Louie","Low","TOR",0,0,-5,20,-5,20
"236","Verlander, Justin","Low","HOU",0,0,-5,20,-5,20
"237","Vesia, Alex","Low","LAD",0,0,-5,20,-5,20
"238","Webb, Jacob","Low","BAL",0,0,-5,20,-5,20
"239","Wells, Tyler","Low","BAL",0,0,-5,20,-5,20
"240","Wheeler, Zack","Low","PHI",0,0,-5,20,-5,20
"241","Williams, Devin","Low","MIL",0,0,-5,20,-5,20
"242","Yates, Kirby","Low","ATL",0,0,-5,20,-5,20
"243","Abreu, Bryan","High","HOU",100,100,105,1,105,1
"244","Armstrong, Shawn","High","TB",100,100,105,1,105,1
"245","Baker, Bryan","High","BAL",100,100,105,1,105,1
"246","Berrios, Jose","High","MIN",100,100,105,1,105,1
"247","Bradford, Cody","High","TEX",100,100,105,1,105,1
"248","Bradish, Kyle","High","BAL",100,100,105,1,105,1
"249","Brasier, Ryan","High","LAD",100,100,105,1,105,1
"250","Brazoban, Huascar","High","MIA",100,100,105,1,105,1
"251","Brown, Hunter","High","HOU",100,100,105,1,105,1
"252","Burke, Brock","High","TEX",100,100,105,1,105,1
"253","Cabrera, Genesis","High","TOR",100,100,105,1,105,1
"254","Cecconi, Slade","High","AZ",100,100,105,1,105,1
"255","Chapman, Aroldis","High","TEX",100,100,105,1,105,1
"256","Coulombe, Danny","High","BAL",100,100,105,1,105,1
"257","Devenski, Chris","High","TB",100,100,105,1,105,1
"258","Diekman, Jake","High","TB",100,100,105,1,105,1
"259","Dominguez, Seranthony","High","PHI",100,100,105,1,105,1
"260","Duran, Jhoan","High","MIN",100,100,105,1,105,1
"261","Eflin, Zach","High","TB",100,100,105,1,105,1
"262","Elder, Bryce","High","ATL",100,100,105,1,105,1
"263","Eovaldi, Nathan","High","TEX",100,100,105,1,105,1
"264","Ferguson, Caleb","High","LAD",100,100,105,1,105,1
"265","Flaherty, Jack","High","BAL",100,100,105,1,105,1
"266","France, J.P.","High","HOU",100,100,105,1,105,1
"267","Frias, Luis","High","AZ",100,100,105,1,105,1
"268","Fried, Max","High","ATL",100,100,105,1,105,1
"269","Gallen, Zac","High","AZ",100,100,105,1,105,1
"270","Garcia, Yimi","High","TOR",100,100,105,1,105,1
"271","Garrett, Braxton","High","MIA",100,100,105,1,105,1
"272","Gausman, Kevin","High","TOR",100,100,105,1,105,1
"273","Gibson, Kyle","High","BAL",100,100,105,1,105,1
"274","Ginkel, Kevin","High","AZ",100,100,105,1,105,1
"275","Glasnow, Tyler","High","TB",100,100,105,1,105,1
"276","Graterol, Brusdar","High","LAD",100,100,105,1,105,1
"277","Gray, Jon","High","TEX",100,100,105,1,105,1
"278","Gray, Sonny","High","MIN",100,100,105,1,105,1
"279","Green, Chad","High","TOR",100,100,105,1,105,1
"280","Grove, Michael","High","LAD",100,100,105,1,105,1
"281","Hall, DL","High","BAL",100,100,105,1,105,1
"282","Hand, Brad","High","ATL",100,100,105,1,105,1
"283","Heaney, Andrew","High","TEX",100,100,105,1,105,1
"284","Hernandez, Daysbel","High","ATL",100,100,105,1,105,1
"285","Hicks, Jordan","High","TOR",100,100,105,1,105,1
"286","Hoffman, Jeff","High","PHI",100,100,105,1,105,1
"287","Iglesias, Raisel","High","PHI",100,100,105,1,105,1
"288","Javier, Cristian","High","HOU",100,100,105,1,105,1
"289","Jax, Griffin","High","MIN",100,100,105,1,105,1
"290","Jimenez, Joe","High","ATL",100,100,105,1,105,1
"291","Johnson, Pierce","High","PHI",100,100,105,1,105,1
"292","Kelly, Joe","High","LAD",100,100,105,1,105,1
"293","Kelly, Merrill","High","AZ",100,100,105,1,105,1
"294","Kershaw, Clayton","High","LAD",100,100,105,1,105,1
"295","Kikuchi, Yusei","High","TOR",100,100,105,1,105,1
"296","Kimbrel, Craig","High","PHI",100,100,105,1,105,1
"297","Kremer, Dean","High","BAL",100,100,105,1,105,1
"298","Leclerc, Jose","High","TEX",100,100,105,1,105,1
"299","Littell, Zack","High","TB",100,100,105,1,105,1
"300","Lopez, Pablo","High","MIN",100,100,105,1,105,1
"301","Lorenzen, Michael","High","PHI",100,100,105,1,105,1
"302","Luzardo, Jesus","High","MIA",100,100,105,1,105,1
"303","Lynn, Lance","High","LAD",100,100,105,1,105,1
"304","Maeda, Kenta","High","MIN",100,100,105,1,105,1
"305","Mantiply, Joe","High","AZ",100,100,105,1,105,1
"306","Maton, Phil","High","HOU",100,100,105,1,105,1
"307","Megill, Trevor","High","MIL",100,100,105,1,105,1
"308","Miller, Bobby","High","LAD",100,100,105,1,105,1
"309","Miller, Shelby","High","LAD",100,100,105,1,105,1
"310","Milner, Hoby","High","MIL",100,100,105,1,105,1
"311","Minter, A.J.","High","ATL",100,100,105,1,105,1
"312","Montero, Rafael","High","HOU",100,100,105,1,105,1
"313","Montgomery, Jordan","High","TEX",100,100,105,1,105,1
"314","Nardi, Andrew","High","MIA",100,100,105,1,105,1
"315","Nelson, Kyle","High","AZ",100,100,105,1,105,1
